Ensembl Gene ID	GO ID
ENSG00000211774	
ENSG00000211775	
ENSG00000211776	
ENSG00000211777	
ENSG00000211778	
ENSG00000211779	
ENSG00000211780	
ENSG00000211781	
ENSG00000211782	
ENSG00000211783	
ENSG00000211784	
ENSG00000211785	
ENSG00000211786	
ENSG00000211787	
ENSG00000211788	
ENSG00000211789	
ENSG00000211790	GO:0006955
ENSG00000211791	
ENSG00000211792	
ENSG00000211793	
ENSG00000211794	
ENSG00000211795	
ENSG00000211796	
ENSG00000211797	
ENSG00000211798	
ENSG00000211799	
ENSG00000211800	
ENSG00000211801	
ENSG00000211802	
ENSG00000211803	
ENSG00000211804	
ENSG00000211805	
ENSG00000211806	
ENSG00000211807	
ENSG00000211808	
ENSG00000211809	
ENSG00000211810	GO:0006955
ENSG00000211811	
ENSG00000211812	
ENSG00000211813	
ENSG00000211814	
ENSG00000211815	
ENSG00000211816	
ENSG00000211817	
ENSG00000211818	
ENSG00000211819	
ENSG00000211820	
ENSG00000211821	
ENSG00000211829	
ENSG00000211830	
ENSG00000211889	GO:0006968
ENSG00000211637	
ENSG00000211638	
ENSG00000211639	
ENSG00000211640	
ENSG00000211641	
ENSG00000211642	
ENSG00000211643	
ENSG00000211643	
ENSG00000211644	GO:0006955
ENSG00000211645	
ENSG00000211646	
ENSG00000211647	
ENSG00000211648	
ENSG00000211649	
ENSG00000211650	
ENSG00000211651	
ENSG00000211652	GO:0006955
ENSG00000211653	
ENSG00000211654	
ENSG00000211655	
ENSG00000211656	
ENSG00000211657	
ENSG00000211658	
ENSG00000211659	
ENSG00000211660	
ENSG00000211661	
ENSG00000211662	
ENSG00000211663	
ENSG00000211664	
ENSG00000211665	
ENSG00000211666	
ENSG00000211667	
ENSG00000211668	
ENSG00000211669	
ENSG00000211670	
ENSG00000211671	
ENSG00000211672	
ENSG00000211673	
ENSG00000211675	
ENSG00000211677	GO:0006955
ENSG00000211679	GO:0006955
ENSG00000211683	
ENSG00000211685	
ENSG00000211686	GO:0006955
ENSG00000211689	
ENSG00000211689	
ENSG00000211693	
ENSG00000211694	
ENSG00000211695	
ENSG00000211696	
ENSG00000211697	
ENSG00000211698	
ENSG00000211699	GO:0006955
ENSG00000211700	
ENSG00000211701	
ENSG00000211890	
ENSG00000211890	GO:0006955
ENSG00000211891	
ENSG00000211891	GO:0006955
ENSG00000211892	
ENSG00000211892	GO:0006955
ENSG00000211893	
ENSG00000211893	GO:0006955
ENSG00000211894	
ENSG00000211895	GO:0006955
ENSG00000211895	GO:0018298
ENSG00000211896	
ENSG00000211896	GO:0006955
ENSG00000211897	
ENSG00000211897	GO:0006955
ENSG00000211897	
ENSG00000211897	
ENSG00000211897	
ENSG00000211897	
ENSG00000211898	
ENSG00000211898	GO:0006955
ENSG00000211899	
ENSG00000211899	GO:0006955
ENSG00000211933	
ENSG00000211934	GO:0006955
ENSG00000211935	
ENSG00000211936	
ENSG00000211937	
ENSG00000211938	
ENSG00000211939	
ENSG00000211940	
ENSG00000211941	
ENSG00000211942	
ENSG00000211943	
ENSG00000211944	
ENSG00000211945	
ENSG00000211946	
ENSG00000211947	
ENSG00000211948	
ENSG00000211949	GO:0006955
ENSG00000211950	
ENSG00000211951	
ENSG00000211952	
ENSG00000211953	
ENSG00000211954	
ENSG00000211955	
ENSG00000211956	
ENSG00000211957	
ENSG00000211958	
ENSG00000211959	
ENSG00000211960	
ENSG00000211961	
ENSG00000211962	GO:0006955
ENSG00000211963	
ENSG00000211964	
ENSG00000211965	
ENSG00000211966	
ENSG00000211967	
ENSG00000211968	
ENSG00000211969	
ENSG00000211970	
ENSG00000211971	
ENSG00000211972	
ENSG00000211973	
ENSG00000211974	
ENSG00000211975	
ENSG00000211976	
ENSG00000211977	
ENSG00000211978	
ENSG00000211979	
ENSG00000211592	GO:0006955
ENSG00000211598	GO:0006955
ENSG00000211599	GO:0006955
ENSG00000211600	GO:0006955
ENSG00000211601	
ENSG00000211602	GO:0006955
ENSG00000211603	
ENSG00000211604	
ENSG00000211605	GO:0006955
ENSG00000211606	
ENSG00000211607	GO:0006955
ENSG00000211608	
ENSG00000211609	
ENSG00000211610	GO:0006955
ENSG00000211611	
ENSG00000211612	
ENSG00000211613	
ENSG00000211614	
ENSG00000211615	GO:0006955
ENSG00000211616	
ENSG00000211617	
ENSG00000211618	GO:0006955
ENSG00000211619	
ENSG00000211620	
ENSG00000211621	
ENSG00000211622	
ENSG00000211623	
ENSG00000211624	
ENSG00000211625	
ENSG00000211626	
ENSG00000211627	
ENSG00000211628	GO:0006955
ENSG00000211629	GO:0006955
ENSG00000211630	
ENSG00000211631	
ENSG00000211632	
ENSG00000211633	
ENSG00000211634	
ENSG00000211635	
ENSG00000211636	
ENSG00000211702	
ENSG00000211703	
ENSG00000211704	
ENSG00000211705	
ENSG00000211706	
ENSG00000211707	
ENSG00000211708	
ENSG00000211709	
ENSG00000211710	
ENSG00000211711	
ENSG00000211712	
ENSG00000211713	
ENSG00000211714	
ENSG00000211715	
ENSG00000211716	
ENSG00000211717	
ENSG00000211718	
ENSG00000211719	
ENSG00000211720	
ENSG00000211721	
ENSG00000211722	
ENSG00000211723	
ENSG00000211724	
ENSG00000211725	
ENSG00000211726	
ENSG00000211727	
ENSG00000211728	
ENSG00000211729	
ENSG00000211730	
ENSG00000211731	
ENSG00000211732	
ENSG00000211733	
ENSG00000211734	
ENSG00000211735	GO:0006955
ENSG00000211736	
ENSG00000211737	
ENSG00000211738	
ENSG00000211739	GO:0006955
ENSG00000211740	
ENSG00000211741	
ENSG00000211742	
ENSG00000211743	
ENSG00000211744	
ENSG00000211745	
ENSG00000211746	
ENSG00000211747	
ENSG00000211748	
ENSG00000211749	
ENSG00000211750	
ENSG00000211751	
ENSG00000211752	
ENSG00000211753	
ENSG00000211754	
ENSG00000211762	GO:0006955
ENSG00000211762	
ENSG00000211772	
ENSG00000211773	
ENSG00000162775	GO:0045638
ENSG00000162775	GO:0010553
ENSG00000162775	GO:0007221
ENSG00000162775	GO:0045449
ENSG00000162775	GO:0045449
ENSG00000142733	GO:0006468
ENSG00000142733	
ENSG00000142733	GO:0006468
ENSG00000142733	GO:0007165
ENSG00000142733	GO:0007257
ENSG00000142733	GO:0006468
ENSG00000142733	GO:0007165
ENSG00000142733	GO:0007257
ENSG00000177693	GO:0007165
ENSG00000177693	GO:0007186
ENSG00000177693	GO:0007608
ENSG00000177693	GO:0050896
ENSG00000177799	GO:0007165
ENSG00000177799	GO:0007186
ENSG00000177799	GO:0007608
ENSG00000177799	GO:0050896
ENSG00000185097	GO:0007165
ENSG00000185097	GO:0007186
ENSG00000185097	GO:0007608
ENSG00000185097	GO:0050896
ENSG00000197049	
ENSG00000177757	
ENSG00000187634	
ENSG00000187634	
ENSG00000188976	
ENSG00000187961	
ENSG00000187583	
ENSG00000187583	
ENSG00000187583	
ENSG00000187642	GO:0007275
ENSG00000188290	GO:0006355
ENSG00000188290	GO:0007275
ENSG00000188290	GO:0007399
ENSG00000188290	GO:0030154
ENSG00000188290	GO:0045449
ENSG00000187608	GO:0006464
ENSG00000187608	GO:0006512
ENSG00000187608	GO:0007267
ENSG00000187608	GO:0009615
ENSG00000187608	GO:0019941
ENSG00000187608	GO:0032020
ENSG00000187608	GO:0044419
ENSG00000187608	GO:0032020
ENSG00000188157	GO:0007009
ENSG00000188157	GO:0007165
ENSG00000188157	GO:0007213
ENSG00000188157	GO:0007528
ENSG00000188157	GO:0008582
ENSG00000188157	GO:0043113
ENSG00000188157	GO:0045162
ENSG00000188157	GO:0045213
ENSG00000188157	GO:0045944
ENSG00000188157	GO:0008033
ENSG00000188157	
ENSG00000217801	GO:0006470
ENSG00000217801	GO:0016311
ENSG00000215916	
ENSG00000131591	
ENSG00000131591	
ENSG00000131591	
ENSG00000131591	
ENSG00000131591	
ENSG00000131591	
ENSG00000205231	
ENSG00000162571	GO:0006464
ENSG00000162571	GO:0006464
ENSG00000162571	GO:0006464
ENSG00000162571	GO:0006464
ENSG00000186891	
ENSG00000186891	GO:0006915
ENSG00000186891	GO:0006916
ENSG00000186891	GO:0007165
ENSG00000186891	
ENSG00000186827	GO:0006955
ENSG00000186827	GO:0006954
ENSG00000186827	GO:0042981
ENSG00000186827	GO:0045859
ENSG00000186827	GO:0006968
ENSG00000186827	GO:0050710
ENSG00000078808	
ENSG00000078808	
ENSG00000078808	
ENSG00000176022	GO:0006024
ENSG00000176022	GO:0006486
ENSG00000176022	GO:0006024
ENSG00000184163	
ENSG00000160087	GO:0019941
ENSG00000160087	GO:0043687
ENSG00000160087	GO:0051246
ENSG00000160087	GO:0043687
ENSG00000160087	GO:0051246
ENSG00000160087	GO:0019941
ENSG00000160087	GO:0043687
ENSG00000160087	GO:0051246
ENSG00000160087	GO:0043687
ENSG00000160087	GO:0051246
ENSG00000160087	GO:0043687
ENSG00000160087	GO:0051246
ENSG00000160087	GO:0043687
ENSG00000160087	GO:0051246
ENSG00000160087	GO:0043687
ENSG00000160087	GO:0051246
ENSG00000162572	GO:0006814
ENSG00000162572	GO:0006814
ENSG00000162572	GO:0006814
ENSG00000162572	GO:0006814
ENSG00000162572	GO:0006814
ENSG00000162572	GO:0006811
