Ensembl Gene ID	Ensembl Transcript ID
ENSMUSG00000079832	ENSMUST00000115962
ENSMUSG00000074844	ENSMUST00000099422
ENSMUSG00000079818	ENSMUST00000115951
ENSMUSG00000079806	ENSMUST00000115940
ENSMUSG00000079797	ENSMUST00000096847
ENSMUSG00000079777	ENSMUST00000115916
ENSMUSG00000079764	ENSMUST00000115902
ENSMUSG00000079763	ENSMUST00000115901
ENSMUSG00000079756	ENSMUST00000115890
ENSMUSG00000079682	ENSMUST00000115495
ENSMUSG00000079680	ENSMUST00000092975
ENSMUSG00000079672	ENSMUST00000100281
ENSMUSG00000073647	ENSMUST00000097690
ENSMUSG00000071871	ENSMUST00000096583
ENSMUSG00000037769	ENSMUST00000035950
ENSMUSG00000071868	ENSMUST00000096582
ENSMUSG00000069448	ENSMUST00000092045
ENSMUSG00000063628	ENSMUST00000076710
ENSMUSG00000073622	ENSMUST00000097657
ENSMUSG00000063533	ENSMUST00000073404
ENSMUSG00000046636	ENSMUST00000050143
ENSMUSG00000055771	ENSMUST00000069529
ENSMUSG00000073603	ENSMUST00000097620
ENSMUSG00000035617	ENSMUST00000039400
ENSMUSG00000046191	ENSMUST00000052179
ENSMUSG00000034339	ENSMUST00000041389
ENSMUSG00000048188	ENSMUST00000062242
ENSMUSG00000067134	ENSMUST00000086995
ENSMUSG00000073569	ENSMUST00000097581
ENSMUSG00000069376	ENSMUST00000091897
ENSMUSG00000069373	ENSMUST00000091893
ENSMUSG00000079574	ENSMUST00000114593
ENSMUSG00000073554	ENSMUST00000051629
ENSMUSG00000063388	ENSMUST00000073997
ENSMUSG00000069367	ENSMUST00000091882
ENSMUSG00000064323	ENSMUST00000075729
ENSMUSG00000073543	ENSMUST00000097544
ENSMUSG00000059662	ENSMUST00000073444
ENSMUSG00000056682	ENSMUST00000056675
ENSMUSG00000073517	ENSMUST00000097499
ENSMUSG00000058211	ENSMUST00000078007
ENSMUSG00000043498	ENSMUST00000059118
ENSMUSG00000079569	ENSMUST00000114579
ENSMUSG00000063911	ENSMUST00000074412
ENSMUSG00000079740	ENSMUST00000115822
ENSMUSG00000071643	ENSMUST00000096236
ENSMUSG00000071637	ENSMUST00000096232
ENSMUSG00000055497	ENSMUST00000069143
ENSMUSG00000076929	ENSMUST00000103741
ENSMUSG00000076930	ENSMUST00000103742
ENSMUSG00000076931	ENSMUST00000103743
ENSMUSG00000076932	ENSMUST00000103744
ENSMUSG00000076933	ENSMUST00000103745
ENSMUSG00000076934	ENSMUST00000103746
ENSMUSG00000076935	ENSMUST00000103747
ENSMUSG00000076936	ENSMUST00000103748
ENSMUSG00000076937	ENSMUST00000103749
ENSMUSG00000076938	ENSMUST00000103750
ENSMUSG00000076939	ENSMUST00000103751
ENSMUSG00000076940	ENSMUST00000103752
ENSMUSG00000068529	ENSMUST00000090049
ENSMUSG00000068492	ENSMUST00000089961
ENSMUSG00000049167	ENSMUST00000049992
ENSMUSG00000043870	ENSMUST00000051804
ENSMUSG00000075285	ENSMUST00000100013
ENSMUSG00000047112	ENSMUST00000053832
ENSMUSG00000075228	ENSMUST00000099936
ENSMUSG00000075147	ENSMUST00000099845
ENSMUSG00000068292	ENSMUST00000089562
ENSMUSG00000075071	ENSMUST00000099760
ENSMUSG00000048087	ENSMUST00000059524
ENSMUSG00000048164	ENSMUST00000062591
ENSMUSG00000061501	ENSMUST00000080031
ENSMUSG00000047016	ENSMUST00000050774
ENSMUSG00000050299	ENSMUST00000052867
ENSMUSG00000052462	ENSMUST00000068753
ENSMUSG00000074942	ENSMUST00000099593
ENSMUSG00000071476	ENSMUST00000077374
ENSMUSG00000068078	ENSMUST00000089111
ENSMUSG00000060691	ENSMUST00000081334
ENSMUSG00000060469	ENSMUST00000075284
ENSMUSG00000062996	ENSMUST00000074045
ENSMUSG00000062433	ENSMUST00000082065
ENSMUSG00000057358	ENSMUST00000075918
ENSMUSG00000041929	ENSMUST00000089931
ENSMUSG00000059132	ENSMUST00000078718
ENSMUSG00000068141	ENSMUST00000089221
ENSMUSG00000044697	ENSMUST00000050108
ENSMUSG00000023916	ENSMUST00000071832
ENSMUSG00000052901	ENSMUST00000065003
ENSMUSG00000068120	ENSMUST00000089182
ENSMUSG00000051639	ENSMUST00000061073
ENSMUSG00000058542	ENSMUST00000078419
ENSMUSG00000068090	ENSMUST00000089139
ENSMUSG00000079315	ENSMUST00000112182
ENSMUSG00000073466	ENSMUST00000097415
ENSMUSG00000079314	ENSMUST00000112181
ENSMUSG00000079313	ENSMUST00000112180
ENSMUSG00000079312	ENSMUST00000112178
ENSMUSG00000073456	ENSMUST00000097402
ENSMUSG00000079311	ENSMUST00000071282
ENSMUSG00000058645	ENSMUST00000072587
ENSMUSG00000079310	ENSMUST00000112174
ENSMUSG00000043801	ENSMUST00000052440
ENSMUSG00000051878	ENSMUST00000078796
ENSMUSG00000067951	ENSMUST00000088829
ENSMUSG00000067949	ENSMUST00000088826
ENSMUSG00000049202	ENSMUST00000057521
ENSMUSG00000047189	ENSMUST00000050900
ENSMUSG00000073447	ENSMUST00000097383
ENSMUSG00000067722	ENSMUST00000088307
ENSMUSG00000049124	ENSMUST00000053575
ENSMUSG00000073428	ENSMUST00000097356
ENSMUSG00000071170	ENSMUST00000095437
ENSMUSG00000079308	ENSMUST00000112165
ENSMUSG00000079307	ENSMUST00000112162
ENSMUSG00000067416	ENSMUST00000087639
ENSMUSG00000079306	ENSMUST00000112158
ENSMUSG00000049832	ENSMUST00000056786
ENSMUSG00000060087	ENSMUST00000077584
ENSMUSG00000067192	ENSMUST00000087144
ENSMUSG00000051655	ENSMUST00000051244
ENSMUSG00000059219	ENSMUST00000081181
ENSMUSG00000055340	ENSMUST00000075319
ENSMUSG00000067189	ENSMUST00000087137
ENSMUSG00000045999	ENSMUST00000062783
ENSMUSG00000045842	ENSMUST00000061746
ENSMUSG00000044887	ENSMUST00000050644
ENSMUSG00000067093	ENSMUST00000086902
ENSMUSG00000079305	ENSMUST00000112150
ENSMUSG00000046952	ENSMUST00000050706
ENSMUSG00000046216	ENSMUST00000053010
ENSMUSG00000047169	ENSMUST00000053281
ENSMUSG00000066958	ENSMUST00000086601
ENSMUSG00000037064	ENSMUST00000039375
ENSMUSG00000054957	ENSMUST00000068277
ENSMUSG00000071040	ENSMUST00000095195
ENSMUSG00000066898	ENSMUST00000086477
ENSMUSG00000071035	ENSMUST00000090731
ENSMUSG00000066878	ENSMUST00000086423
ENSMUSG00000043273	ENSMUST00000057643
ENSMUSG00000049365	ENSMUST00000057218
ENSMUSG00000048365	ENSMUST00000057757
ENSMUSG00000052419	ENSMUST00000064255
ENSMUSG00000071568	ENSMUST00000096101
ENSMUSG00000071564	ENSMUST00000096093
ENSMUSG00000071563	ENSMUST00000096092
ENSMUSG00000048022	ENSMUST00000050249
ENSMUSG00000052894	ENSMUST00000064995
ENSMUSG00000080242	ENSMUST00000116500
ENSMUSG00000057696	ENSMUST00000071438
ENSMUSG00000076461	ENSMUST00000103262
ENSMUSG00000076462	ENSMUST00000103263
ENSMUSG00000076463	ENSMUST00000103264
ENSMUSG00000076464	ENSMUST00000103265
ENSMUSG00000076465	ENSMUST00000103266
ENSMUSG00000076466	ENSMUST00000103267
ENSMUSG00000076467	ENSMUST00000103268
ENSMUSG00000076468	ENSMUST00000103269
ENSMUSG00000076469	ENSMUST00000103270
ENSMUSG00000076470	ENSMUST00000103271
ENSMUSG00000076471	ENSMUST00000103272
ENSMUSG00000076472	ENSMUST00000103273
ENSMUSG00000076473	ENSMUST00000103274
ENSMUSG00000076474	ENSMUST00000103275
ENSMUSG00000076475	ENSMUST00000103276
ENSMUSG00000076476	ENSMUST00000103277
ENSMUSG00000076477	ENSMUST00000103278
ENSMUSG00000076478	ENSMUST00000103279
ENSMUSG00000076479	ENSMUST00000103280
ENSMUSG00000079233	ENSMUST00000111498
ENSMUSG00000076480	ENSMUST00000103281
ENSMUSG00000076481	ENSMUST00000103282
ENSMUSG00000076482	ENSMUST00000103283
ENSMUSG00000076483	ENSMUST00000103284
ENSMUSG00000076484	ENSMUST00000103285
ENSMUSG00000076485	ENSMUST00000103286
ENSMUSG00000076486	ENSMUST00000103287
ENSMUSG00000076487	ENSMUST00000103288
ENSMUSG00000076488	ENSMUST00000103289
ENSMUSG00000076489	ENSMUST00000103290
ENSMUSG00000076490	ENSMUST00000103291
ENSMUSG00000076491	ENSMUST00000103292
ENSMUSG00000076492	ENSMUST00000103293
ENSMUSG00000076493	ENSMUST00000103294
ENSMUSG00000076494	ENSMUST00000103295
ENSMUSG00000076495	ENSMUST00000103296
ENSMUSG00000076496	ENSMUST00000103297
ENSMUSG00000076497	ENSMUST00000103298
ENSMUSG00000076498	ENSMUST00000103299
ENSMUSG00000076499	ENSMUST00000103300
ENSMUSG00000076500	ENSMUST00000103301
ENSMUSG00000052241	ENSMUST00000064013
ENSMUSG00000045359	ENSMUST00000052129
ENSMUSG00000068545	ENSMUST00000090080
ENSMUSG00000044211	ENSMUST00000056948
ENSMUSG00000068537	ENSMUST00000090064
ENSMUSG00000056583	ENSMUST00000070779
ENSMUSG00000059159	ENSMUST00000080373
ENSMUSG00000043496	ENSMUST00000059421
ENSMUSG00000044089	ENSMUST00000059171
ENSMUSG00000062032	ENSMUST00000074381
ENSMUSG00000071419	ENSMUST00000089898
ENSMUSG00000044965	ENSMUST00000050291
ENSMUSG00000048665	ENSMUST00000054470
ENSMUSG00000047905	ENSMUST00000050898
ENSMUSG00000076501	ENSMUST00000103302
ENSMUSG00000076502	ENSMUST00000103303
ENSMUSG00000076503	ENSMUST00000103304
ENSMUSG00000076504	ENSMUST00000103305
ENSMUSG00000076505	ENSMUST00000103306
ENSMUSG00000076506	ENSMUST00000103307
ENSMUSG00000076507	ENSMUST00000103308
ENSMUSG00000076508	ENSMUST00000103309
ENSMUSG00000076509	ENSMUST00000103310
ENSMUSG00000076510	ENSMUST00000103311
ENSMUSG00000076511	ENSMUST00000103312
ENSMUSG00000076512	ENSMUST00000103313
ENSMUSG00000076513	ENSMUST00000103314
ENSMUSG00000076514	ENSMUST00000103315
ENSMUSG00000076515	ENSMUST00000103316
ENSMUSG00000076516	ENSMUST00000103317
ENSMUSG00000076517	ENSMUST00000103318
ENSMUSG00000076518	ENSMUST00000103319
ENSMUSG00000076519	ENSMUST00000103320
ENSMUSG00000076520	ENSMUST00000103321
ENSMUSG00000076521	ENSMUST00000103322
ENSMUSG00000076522	ENSMUST00000103323
ENSMUSG00000076523	ENSMUST00000103324
ENSMUSG00000076524	ENSMUST00000103325
ENSMUSG00000076525	ENSMUST00000103326
ENSMUSG00000076526	ENSMUST00000103327
ENSMUSG00000076527	ENSMUST00000103328
ENSMUSG00000076528	ENSMUST00000103329
ENSMUSG00000076529	ENSMUST00000103330
ENSMUSG00000076530	ENSMUST00000103331
ENSMUSG00000076531	ENSMUST00000103332
ENSMUSG00000076532	ENSMUST00000103333
ENSMUSG00000076533	ENSMUST00000103334
ENSMUSG00000076534	ENSMUST00000103335
ENSMUSG00000076535	ENSMUST00000103336
ENSMUSG00000076536	ENSMUST00000103337
ENSMUSG00000076537	ENSMUST00000103338
ENSMUSG00000076538	ENSMUST00000103339
ENSMUSG00000076539	ENSMUST00000103340
ENSMUSG00000076540	ENSMUST00000103341
ENSMUSG00000076541	ENSMUST00000103342
ENSMUSG00000076542	ENSMUST00000103343
ENSMUSG00000076543	ENSMUST00000103344
ENSMUSG00000076544	ENSMUST00000103345
ENSMUSG00000076545	ENSMUST00000103346
ENSMUSG00000076546	ENSMUST00000103347
ENSMUSG00000076547	ENSMUST00000103348
