Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand
ENSMUSG00000060499	12	67384368	67385388	-1
ENSMUSG00000035560	12	66326504	66329441	1
ENSMUSG00000091109	13	97260688	97261075	1
ENSMUSG00000054321	18	14941754	15058868	1
ENSMUSG00000067276	X	140236774	140261957	-1
ENSMUSG00000047534	12	66233721	66273591	-1
ENSMUSG00000052384	16	32142871	32165680	-1
ENSMUSG00000091437	X	35987726	35988259	-1
ENSMUSG00000000355	X	35953755	35966699	1
ENSMUSG00000021676	13	96397132	96661877	-1
ENSMUSG00000021678	13	96281687	96295195	-1
ENSMUSG00000043060	12	65572320	65575885	-1
ENSMUSG00000091396	12	63788809	63789231	1
ENSMUSG00000022548	16	31296278	31314894	-1
ENSMUSG00000060566	12	60195042	60195524	-1
ENSMUSG00000049076	16	31092499	31201324	-1
ENSMUSG00000016327	X	35669361	35689946	1
ENSMUSG00000005836	18	11052508	11085633	1
ENSMUSG00000020994	12	60167906	60175004	1
ENSMUSG00000027014	2	77719216	77784432	-1
ENSMUSG00000051038	X	35429771	35438316	-1
ENSMUSG00000068048	X	35252274	35254947	-1
ENSMUSG00000031429	X	137482968	137491267	-1
ENSMUSG00000038094	16	29396124	29544950	-1
ENSMUSG00000012076	12	56937353	56970722	1
ENSMUSG00000022525	16	29209781	29230617	1
ENSMUSG00000071771	X	34847001	34851786	1
ENSMUSG00000061013	18	6934964	7004777	-1
ENSMUSG00000056423	16	27353408	27370325	-1
ENSMUSG00000031438	X	136097855	136207684	1
ENSMUSG00000022887	16	23449490	23520676	-1
ENSMUSG00000044400	X	34588840	34590413	1
ENSMUSG00000059203	X	134105147	135381485	1
ENSMUSG00000027656	2	163646597	163658882	1
ENSMUSG00000018381	11	95691386	95703790	-1
ENSMUSG00000053353	2	163298327	163298647	1
ENSMUSG00000017943	2	163264212	163281060	1
ENSMUSG00000070708	2	162912767	162913590	-1
ENSMUSG00000027035	2	68699498	68952339	1
ENSMUSG00000034780	2	67942728	67960746	1
ENSMUSG00000020864	11	94189315	94203155	1
ENSMUSG00000037843	2	157740389	157770455	1
ENSMUSG00000000394	2	62312587	62321707	-1
ENSMUSG00000027642	2	157104753	157152055	1
ENSMUSG00000047490	11	89251537	89280262	-1
ENSMUSG00000057534	11	88825972	88828245	-1
ENSMUSG00000034031	11	88107545	88108763	1
ENSMUSG00000074646	2	155799015	155833713	-1
ENSMUSG00000018548	11	86940579	87034185	1
ENSMUSG00000026946	2	51804007	51829014	-1
ENSMUSG00000036249	2	51779968	51790683	-1
ENSMUSG00000020525	11	85124746	85160573	1
ENSMUSG00000027593	2	154616832	154692997	1
ENSMUSG00000000976	11	83567198	83597256	1
ENSMUSG00000027479	2	153567010	153599046	1
ENSMUSG00000000982	11	83461346	83462857	-1
ENSMUSG00000091772	11	83135115	83137089	-1
ENSMUSG00000069793	11	82793131	82805332	-1
ENSMUSG00000055838	2	36852247	36853338	1
ENSMUSG00000027470	2	152737088	152748804	1
ENSMUSG00000041530	4	126112256	126145878	-1
ENSMUSG00000027455	2	151319918	151337150	1
ENSMUSG00000053916	2	150855421	150865134	-1
ENSMUSG00000078771	11	79340062	79344111	-1
ENSMUSG00000032046	2	150658229	150730477	-1
ENSMUSG00000026875	2	34797270	34817292	-1
ENSMUSG00000073761	4	123536922	123540408	1
ENSMUSG00000026869	2	34707608	34726459	-1
ENSMUSG00000035949	2	34660034	34681831	-1
ENSMUSG00000060336	2	150043809	150066461	1
ENSMUSG00000070953	2	34633076	34655432	-1
ENSMUSG00000001123	11	78776476	78798448	-1
ENSMUSG00000020829	11	78279199	78285447	1
ENSMUSG00000076436	4	122999118	123000877	-1
ENSMUSG00000073764	4	120988921	120997522	-1
ENSMUSG00000028631	4	120368743	120421217	-1
ENSMUSG00000047518	4	120204836	120209266	1
ENSMUSG00000033191	4	118143796	118162666	-1
ENSMUSG00000033253	4	118035348	118081878	-1
ENSMUSG00000037376	2	132629943	132641791	-1
ENSMUSG00000076441	2	31325727	31376192	1
ENSMUSG00000047363	2	30450560	30464463	1
ENSMUSG00000020745	11	74487451	74538172	-1
ENSMUSG00000034035	4	116269259	116272871	1
ENSMUSG00000034042	4	116230263	116266505	1
ENSMUSG00000047444	11	73857827	73858774	-1
ENSMUSG00000083874	5	77171098	77171538	-1
ENSMUSG00000053656	5	74489085	74491430	1
ENSMUSG00000027303	2	130276014	130380036	1
ENSMUSG00000081022	5	33469451	33469910	1
ENSMUSG00000039686	2	29952803	29980105	-1
ENSMUSG00000078182	5	29864693	29865049	1
ENSMUSG00000086729	5	23839741	23843034	1
ENSMUSG00000073152	5	21416749	21459832	1
ENSMUSG00000086528	5	8037294	8052707	-1
ENSMUSG00000091483	5	3123777	3127383	1
ENSMUSG00000033970	5	152445331	152453817	-1
ENSMUSG00000028708	4	115511803	115551855	1
ENSMUSG00000020788	11	72774671	72806546	1
ENSMUSG00000053552	2	130120905	130196217	1
ENSMUSG00000028709	4	115500697	115508790	1
ENSMUSG00000020794	11	72420785	72499983	1
ENSMUSG00000027404	2	129997150	130005139	-1
ENSMUSG00000057738	2	29821080	29886971	1
ENSMUSG00000066072	4	115190869	115206254	1
ENSMUSG00000051950	5	150480805	150565174	1
ENSMUSG00000029660	5	150242281	150273195	1
ENSMUSG00000045667	11	72202666	72225215	-1
ENSMUSG00000027395	2	128926731	128952330	1
ENSMUSG00000079051	2	128863881	128881511	-1
ENSMUSG00000039798	2	29724246	29725305	-1
